Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10863","","","None","192.168.2.1","tcp","9443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: US
Organization: PacketVideo
Organization Unit: TwonkyServer
State/Province: California
Locality: SanDiego
Common Name: *

Issuer Name: 

Country: US
Organization: PacketVideo
Organization Unit: TwonkyServer
State/Province: California
Locality: SanDiego
Common Name: *

Serial Number: 00 D0 D3 2A 43 76 62 AF 35 

Version: 3

Signature Algorithm: SHA-1 With RSA Encryption

Not Valid Before: Nov 12 16:05:30 2010 GMT
Not Valid After: Jan 21 16:05:30 2037 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 DC 3F 57 C5 C5 D8 DE CC 2F 5A C6 43 91 BF BF 54 D9 BD F2 
            24 76 A8 3D 30 AD 96 2B 2A 73 77 54 60 E1 FC 40 10 C7 F9 C6 
            E9 F5 4A 8A 7E 81 6E 75 C0 76 16 C2 56 B2 21 FB 16 14 1D 40 
            B1 D6 7A 7B 92 6B A5 84 22 BD AE 98 71 07 9E 78 34 90 14 16 
            74 B4 C1 74 AB FF 7F F9 B5 11 E9 38 27 D1 F6 45 14 3B 59 8F 
            9F 0A 4F 8E 1A 76 2B 00 20 12 73 AA C4 E7 2C 2C 3F 9F 81 4E 
            47 EA 63 A4 37 27 CA 6D 42 25 0E 01 77 4B 29 30 10 03 0B 62 
            48 F9 06 59 3A A1 58 05 F8 51 D5 5F 6B 32 5D 9A C0 A5 11 3C 
            CB 43 52 75 D7 D3 58 BD D9 17 05 59 9F 02 4E 3C 55 D1 70 30 
            D8 44 FA 1D 50 77 1C 49 1E 01 28 6D 32 E4 C3 F6 E3 6B 57 8C 
            6C 7C A9 63 BA AE E8 5C 0E 05 DE 2E 30 1C E6 FC 0B 62 4A 0D 
            8C B5 38 B6 10 AD E9 46 86 BB 4A 61 2C FC 79 1D 54 88 C3 21 
            79 F9 DB 6C 8D BD 6C C6 83 5D 73 F0 CB BB F6 20 E9 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 3F FC 88 09 27 30 0A 35 E3 5D 93 FB EB 8F 2D 95 E4 F3 3F 
           6D 33 2C 49 6C 13 E2 C0 A0 97 24 38 EF B8 F8 DE 35 27 61 95 
           55 53 5E B6 D9 E1 46 DF B2 35 DC C7 61 A1 7C 36 34 AF 38 CF 
           3A 68 01 63 23 B0 86 83 77 0E 9A F4 FF 32 1B D7 AA 64 72 2B 
           57 4B 8B 20 85 D5 CA 06 6F D6 89 29 D7 69 BB 9B A2 02 39 30 
           84 DA 58 69 29 D0 ED CA 04 02 55 F7 84 54 FF F6 36 3F 64 5F 
           08 A0 0C 65 06 5E A4 1C 75 1D 1A 7B 7E 76 DE F4 D8 D7 CC 99 
           BA C2 84 97 F6 DD 32 0C 2E D4 2C 6A CE A1 75 C3 AB D9 C1 9A 
           34 82 88 C2 00 A1 86 19 DB 57 64 00 48 48 68 3E A6 D5 37 B4 
           3A 76 EB D6 56 F8 7C CC 0D 51 CA F9 6A FB 30 FD 6B A8 7A 17 
           D0 BB E2 A4 A1 CE DB 96 27 06 99 8A 0C B4 EA CA 1A 30 6F C9 
           18 D8 B3 08 FA 36 BC CC 60 10 CB BE FF 11 9A D1 9B 15 5A EE 
           BB 20 34 06 3A 5C F0 C7 DC 00 FA EE 51 DA 56 16 63 

Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 08 54 10 2F 6E D7 A4 A1 BA A1 73 88 53 B8 F6 E8 EA 19 18 77 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 08 54 10 2F 6E D7 A4 A1 BA A1 73 88 53 B8 F6 E8 EA 19 18 77 
Country: US
Organization: PacketVideo
Organization Unit: TwonkyServer
State/Province: California
Locality: SanDiego
Common Name: *
Serial Number: 00 D0 D3 2A 43 76 62 AF 35 


Extension: Basic Constraints (2.5.29.19)
Critical: 0
CA: TRUE


Fingerprints : 

SHA-256 Fingerprint: 26 B3 36 D8 5B 19 D9 AA 07 06 7E B1 1E 66 92 6F 43 3B CE BF 
                     DA 41 CD 85 47 4F 39 61 64 61 8A 69 
SHA-1 Fingerprint: 92 21 34 D0 D9 7B 30 D1 8B 70 01 F1 54 E2 6F 8F 17 ED 61 5F 
MD5 Fingerprint: EB 00 3B 61 E3 42 0A DB A8 67 3A F1 DD A5 A7 8E 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEMzCCAxugAwIBAgIJANDTKkN2Yq81MA0GCSqGSIb3DQEBBQUAMG4xCzAJBgNVBAYTAlVTMRQwEgYDVQQKEwtQYWNrZXRWaWRlbzEVMBMGA1UECxMMVHdvbmt5U2VydmVyMRMwEQYDVQQIEwpDYWxpZm9ybmlhMREwDwYDVQQHEwhTYW5EaWVnbzEKMAgGA1UEAwwBKjAeFw0xMDExMTIxNjA1MzBaFw0zNzAxMjExNjA1MzBaMG4xCzAJBgNVBAYTAlVTMRQwEgYDVQQKEwtQYWNrZXRWaWRlbzEVMBMGA1UECxMMVHdvbmt5U2VydmVyMRMwEQYDVQQIEwpDYWxpZm9ybmlhMREwDwYDVQQHEwhTYW5EaWVnbzEKMAgGA1UEAwwBKjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANw/V8XF2N7ML1rGQ5G/v1TZvfIkdqg9MK2WKypzd1Rg4fxAEMf5xun1Sop+gW51wHYWwlayIfsWFB1AsdZ6e5JrpYQiva6YcQeeeDSQFBZ0tMF0q/9/+bUR6Tgn0fZFFDtZj58KT44adisAIBJzqsTnLCw/n4FOR+pjpDcnym1CJQ4Bd0spMBADC2JI+QZZOqFYBfhR1V9rMl2awKURPMtDUnXX01i92RcFWZ8CTjxV0XAw2ET6HVB3HEkeAShtMuTD9uNrV4xsfKljuq7oXA4F3i4wHOb8C2JKDYy1OLYQrelGhrtKYSz8eR1UiMMhefnbbI29bMaDXXPwy7v2IOkCAwEAAaOB0zCB0DAdBgNVHQ4EFgQUCFQQL27XpKG6oXOIU7j26OoZGHcwgaAGA1UdIwSBmDCBlYAUCFQQL27XpKG6oXOIU7j26OoZGHehcqRwMG4xCzAJBgNVBAYTAlVTMRQwEgYDVQQKEwtQYWNrZXRWaWRlbzEVMBMGA1UECxMMVHdvbmt5U2VydmVyMRMwEQYDVQQIEwpDYWxpZm9ybmlhMREwDwYDVQQHEwhTYW5EaWVnbzEKMAgGA1UEAwwBKoIJANDTKkN2Yq81MAwGA1UdEwQFMAMBAf8wDQYJKoZIhvcNAQEFBQADggEBAD/8iAknMAo1412T++uPLZXk8z9tMyxJbBPiwKCXJDjvuPjeNSdhlVVTXrbZ4UbfsjXcx2GhfDY0rzjPOmgBYyOwhoN3Dpr0/zIb16pkcitXS4sghdXKBm/WiSnXabubogI5MITaWGkp0O3KBAJV94RU//Y2P2RfCKAMZQZepBx1HRp7fnbe9NjXzJm6woSX9t0yDC7ULGrOoXXDq9nBmjSCiMIAoYYZ21dkAEhIaD6m1Te0Onbr1lb4fMwNUcr5avsw/WuoehfQu+Kkoc7blicGmYoMtOrKGjBvyRjYswj6NrzMYBDLvv8RmtGbFVruuyA0Bjpc8MfcAPruUdpWFmM=
-----END CERTIFICATE-----"
"11002","","","None","192.168.2.1","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System",""
"11002","","","None","192.168.2.1","udp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System",""
"11011","","","None","192.168.2.1","tcp","445","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
A CIFS server is running on this port.
"
"11219","","","None","192.168.2.1","tcp","53","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 53/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","445","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 445/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","9000","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 9000/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","9443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 9443/tcp was found to be open"
"11219","","","None","192.168.2.1","tcp","10080","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 10080/tcp was found to be open"
"11936","","","None","192.168.2.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel
Confidence level : 56
Method : MLSinFP

Not all fingerprints could give a match. If you think that these
signatures would help us improve OS fingerprinting, please submit
them by visiting https://www.tenable.com/research/submitsignatures.

HTTP:!:Server: HTTP Server

SinFP:!:
   P1:B10113:F0x12:W29200:O0204ffff:M1460:
   P2:B10113:F0x12:W29200:O0204ffff0101040201030307:M1460:
   P3:B00000:F0x00:W0:O0:M0
   P4:191003_7_p=445
SSLcert:!:i/CN:self-signedkeyi/O:Sagemcom Cas/CN:self-signedkeys/O:Sagemcom Ca
645d99d4857f87cffb5ffaad34613e6d97482745
i/CN:*i/O:PacketVideoi/OU:TwonkyServers/CN:*s/O:PacketVideos/OU:TwonkyServer
922134d0d97b30d18b7001f154e26f8f17ed615f


 
The remote host is running Linux Kernel"
"12053","","","None","192.168.2.1","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
192.168.2.1 resolves as mynetwork.home.
"
"19506","","","None","192.168.2.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.8.3
Nessus build : 20010
Plugin feed version : 202503211203
Scanner edition used : Nessus Home
Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : workkkk
Scan policy used : Advanced Scan
Scanner IP : 192.168.2.109
Port scanner(s) : nessus_syn_scanner 
Port range : default
Ping RTT : 165.053 ms
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 192
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/3/21 18:16 EDT (UTC -04:00)
Scan duration : 700 sec
Scan for malware : no
"
"19689","","","None","192.168.2.1","tcp","9000","Embedded Web Server Detection","The remote web server is embedded.","The remote web server cannot host user-supplied CGIs. CGI scanning
will be disabled on this server.","n/a","",""
"19689","","","None","192.168.2.1","tcp","9443","Embedded Web Server Detection","The remote web server is embedded.","The remote web server cannot host user-supplied CGIs. CGI scanning
will be disabled on this server.","n/a","",""
"21643","","","None","192.168.2.1","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.0.2/man1/ciphers.html
http://www.nessus.org/u?e17ffced","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv13
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    TLS_AES_128_GCM_SHA256        0x13, 0x01       -             -        AES-GCM(128)           AEAD
    TLS_AES_256_GCM_SHA384        0x13, 0x02       -             -        AES-GCM(256)           AEAD
    TLS_CHACHA20_POLY1305_SHA256  0x13, 0x03       -             -        ChaCha20-Poly1305(256) AEAD


SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES256-SHA384         0x00, 0x9F       DH            RSA      AES-GCM(256)           SHA384
    DHE-RSA-CHACHA20-POLY1305     0xCC, 0xAA       DH            RSA      ChaCha20-Poly1305(256) SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384
    ECDHE-RSA-CHACHA20-POLY1305   0xCC, 0xA8       ECDH          RSA      ChaCha20-Poly1305(256) SHA256
    RSA-AES256-SHA384             0x00, 0x9D       RSA           RSA      AES-GCM(256)           SHA384
    DHE-RSA-AES256-SHA256         0x00, 0x6B       DH            RSA      AES-CBC(256)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x28       ECDH          RSA      AES-CBC(256)           SHA384
    RSA-AES256-SHA256             0x00, 0x3D       RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
